5394;Filet z dorsza panierowany
7466;Filet z fyby
7467;Filet z indyka
7468;Filet z karmazyna
7469;Filet z kurczaka
7470;Filet z matiasów
7471;Filet z matjasa
7472;Filet z pangi
7473;Filet z perlicy wielkopolskiej
7474;Filet z piersi indyka
7475;Filet z piersi kaczki
7476;Filet z piersi kurczaka
7477;Filet z ryby
7478;Filet z ryby morskiej
11204;Filet z ryby rzecznej
11202;Filet z ryby rzeczno morskiej
7479;Filet z ryby słodkowodnej
7480;Filet ze śledzia
11208;Filet zwierzęcy
7693;Filety pstraga wędzone
7694;Filety rybne
7695;Filety sardeli
7692;Filety śledziowe
7696;Filety z barweny
7697;Filety z białej ryby
7698;Filety z białej ryby morskiej
7699;Filety z dorsza
7700;Filety z kaczki
7701;Filety z kurczaka
7702;Filety z matiasa
7703;Filety z matiesów
7704;Filety z miętusa
7705;Filety z pangi
7706;Filety z piersi kurczaka
7707;Filety z ryb morskich
7708;Filety z ryby
11569;Finea
5397;Finea mix
5398;Finea mix niskokal
5399;Finn crisp onion
11270;Fistaszek
5401;Fistaszki
5402;Fitness
5403;Fitness z owocami
11874;Fix cztery sery z brokułami
11877;Fix do bitej śmietany
11880;Fix do dań chińskich
11883;Fix do kotletów mielonych
11885;Fix do kurczaka
11886;Fix do mięsa
5404;Fix do spagetti
11887;Fix do spaghetti
11888;Fix do spaghetti 4 sery z brokułami
11889;Fix do spaghetti bolognese
11890;Fix do spaghetti neapoli
11891;Fix klopsiki zpiekane z pomidorami i serem
11892;Fix Knorr – Gołąbki bez zawijania
11893;Fix kremowy kurczak z pieczarkami
11894;Fix kurczak
11896;Fix Kurczak po meksykańsku
11897;Fix kurczak w ziołach i śmietanie
11898;Fix zapiekanka ziemniaczana z porem
11899;Fixy
5410;Flądra
5411;Flądra świeża
5412;Flądra wędzona
5413;Flora
12009;Frisee Endywia
5415;Frutina
11683;Galareta mięsna
7289;Galaretka
7293;Galaretka agrestowa
7294;Galaretka brzoskwiniowa
7291;Galaretka cytrynowa
7295;Galaretka czerwona
7296;Galaretka jabłkowa
7297;Galaretka malinowa
11201;Galaretka mięsna
5422;Galaretka owocowa
5423;Galaretka owocowa w proszku
5424;Galaretka pomarańczowa
7298;Galaretka porzeczkowa
7292;Galaretka różnokolorowa
7299;Galaretka truskawkowa
5425;Galaretka wieprzowa
7300;Galaretka wiśniowa
7301;Galaretka z czerwonych porzeczek
5426;Galaretka z dorsza
11825;Galaretka z nórzek wieprzowych
5427;Galaretka z nóżek wieprzowych
7302;Galaretka zielona
7290;Galaretka żółta
5428;Gałka muszkatołowa
5429;Garam masala
11556;Gęś
5432;Gęś - tuszka
5431;Gęś tuszka
5433;Gin
11669;Glony
11832;Gładzica-płastuga świeża
5435;Golonka
5436;Golonka ze skórą wieprzowa
5443;Gorczyca
5444;Gorzka czekolada
5445;Gouda tłusty
5446;Goździk
5447;Goździki
11984;Grahamka
11992;Grana padano
5448;Granat
7750;Grand marnier
5449;Grejfrut
5450;Grejpfrut
5451;Grejpfrut sweetie
5452;Groch
11837;Groch - nasiona suche
5457;Groch - suche nasiona
5458;Groch - suchy
5453;Groch gotowany
5454;Groch konserwowy
5455;Groch nasiona suche
5456;Groch włoski
5459;Groszek
5461;Groszek w zalewie - konserwa
5463;Groszek zielony
5468;Groszek zielony - konserwa
11159;Groszek zielony - konserwowy bez zalewy
5464;Groszek zielony (strąki)
5465;Groszek zielony konserwowy
11714;Groszek zielony konserwowy - bez zalewy
5466;Groszek zielony mrożony
5470;Gruszka
11574;Gruszka chińska
5471;Gruszka suszona
11238;Gruszki
5472;Gruszki suszone
5476;Grzyby
11684;Grzyby marynowane
5479;Grzyby suszone
5487;Halibut
5488;Halibut biały świeży
5489;Halibut świeży
5500;Herbata
5503;Herbata - napar bez cukru
5501;Herbata bez cukru
5502;Herbata z cukrem i cytryna
5504;Herbatnik
5505;Herbatniki
5507;Herbatniki kakaowe
5508;Herbatniki kokosowe
5509;Herbatniki sezamowe
5510;Herbatniki w czekoladzie
